FECHA,ROL,VICTIMA,SEXO,EDAD_VICTIMA
2016-01-01,CONDUCTOR,MOTO,MASCULINO,19
2016-01-02,CONDUCTOR,AUTO,MASCULINO,70
2016-01-03,CONDUCTOR,MOTO,MASCULINO,30
2016-01-10,CONDUCTOR,MOTO,MASCULINO,18
2016-01-21,CONDUCTOR,MOTO,MASCULINO,29
2016-01-24,CONDUCTOR,MOTO,MASCULINO,30
2016-01-24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29
2016-01-29,CONDUCTOR,MOTO,MASCULINO,18
2016-02-08,CONDUCTOR,MOTO,MASCULINO,22
2016-02-10,PEATON,PEATON,MASCULINO,16
2016-02-14,PEATON,PEATON,FEMENINO,16
2016-02-14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19
2016-02-15,PEATON,PEATON,MASCULINO,59
2016-02-17,PEATON,PEATON,FEMENINO,65
2016-02-17,PEATON,PEATON,MASCULINO,59
2016-02-17,CONDUCTOR,AUTO,MASCULINO,34
2016-02-21,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41
2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
2016-02-28,CONDUCTOR,AUTO,MASCULINO,30
2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
2016-03-02,PEATON,PEATON,MASCULINO,50
2016-03-04,PEATON,PEATON,MASCULINO,38
2016-03-08,CONDUCTOR,MOTO,MASCULINO,21
2016-03-12,PEATON,PEATON,MASCULINO,52
2016-03-13,CONDUCTOR,MOTO,MASCULINO,34
2016-03-14,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36
2016-03-19,CONDUCTOR,MOTO,MASCULINO,20
2016-03-21,PEATON,PEATON,MASCULINO,29
2016-03-23,CONDUCTOR,MOTO,MASCULINO,20
2016-03-29,CONDUCTOR,MOTO,MASCULINO,54
2016-03-29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,SD
2016-03-30,PEATON,PEATON,FEMENINO,56
2016-03-31,CONDUCTOR,MOTO,MASCULINO,24
2016-04-11,CONDUCTOR,MOTO,MASCULINO,SD
2016-04-15,PEATON,PEATON,MASCULINO,41
2016-04-15,PEATON,PEATON,FEMENINO,SD
2016-04-17,SD,SD,SD,SD
2016-04-19,PEATON,PEATON,MASCULINO,78
2016-04-20,CONDUCTOR,MOTO,MASCULINO,36
2016-04-20,SD,MOTO,SD,SD
2016-04-22,PEATON,PEATON,MASCULINO,38
2016-04-23,CONDUCTOR,MOTO,MASCULINO,30
2016-04-25,PEATON,PEATON,MASCULINO,79
2016-04-26,CONDUCTOR,MOTO,MASCULINO,26
2016-05-04,PEATON,PEATON,FEMENINO,57
2016-05-08,PEATON,PEATON,MASCULINO,37
2016-05-14,PEATON,PEATON,MASCULINO,20
2016-05-20,PEATON,PEATON,MASCULINO,20
2016-05-21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30
2016-05-22,CONDUCTOR,MOTO,MASCULINO,58
2016-05-23,CONDUCTOR,AUTO,MASCULINO,30
2016-06-11,CONDUCTOR,MOTO,MASCULINO,23
2016-06-12,CONDUCTOR,AUTO,MASCULINO,60
2016-06-12,PEATON,PEATON,MASCULINO,42
2016-06-13,PEATON,PEATON,FEMENINO,53
2016-06-13,PEATON,PEATON,FEMENINO,SD
2016-06-13,CONDUCTOR,MOTO,MASCULINO,30
2016-06-16,CONDUCTOR,AUTO,FEMENINO,51
2016-06-18,CONDUCTOR,AUTO,MASCULINO,60
2016-06-22,CONDUCTOR,MOTO,MASCULINO,40
2016-06-27,PEATON,PEATON,MASCULINO,87
2016-06-28,PEATON,PEATON,FEMENINO,76
2016-06-29,PEATON,PEATON,MASCULINO,57
2016-06-29,SD,MOTO,MASCULINO,SD
2016-06-30,PEATON,PEATON,MASCULINO,75
2016-07-03,CONDUCTOR,MOTO,MASCULINO,23
2016-07-11,PEATON,PEATON,FEMENINO,70
2016-07-14,PEATON,PEATON,MASCULINO,35
2016-07-14,PEATON,PEATON,MASCULINO,60
2016-07-15,CONDUCTOR,MOTO,MASCULINO,24
2016-07-17,CONDUCTOR,AUTO,MASCULINO,35
2016-07-23,CONDUCTOR,MOTO,MASCULINO,29
2016-07-25,CONDUCTOR,MOTO,MASCULINO,SD
2016-07-26,PEATON,PEATON,MASCULINO,80
2016-07-27,CONDUCTOR,MOTO,FEMENINO,43
2016-07-29,CONDUCTOR,CARGAS,MASCULINO,45
2016-08-03,CONDUCTOR,MOTO,MASCULINO,57
2016-08-07,SD,SD,MASCULINO,67
2016-08-10,CONDUCTOR,MOTO,MASCULINO,29
2016-08-14,CONDUCTOR,MOTO,MASCULINO,21
2016-08-17,PEATON,PEATON,MASCULINO,19
2016-08-19,PEATON,PEATON,MASCULINO,38
2016-08-20,CONDUCTOR,MOTO,MASCULINO,21
2016-08-24,CONDUCTOR,AUTO,FEMENINO,53
2016-08-24,PEATON,PEATON,MASCULINO,57
2016-08-25,CONDUCTOR,MOTO,MASCULINO,27
2016-08-27,CONDUCTOR,MOTO,MASCULINO,24
2016-08-27,PEATON,PEATON,FEMENINO,60
2016-08-31,CICLISTA,BICICLETA,FEMENINO,55
2016-09-02,SD,SD,MASCULINO,SD
2016-09-02,CONDUCTOR,MOTO,MASCULINO,30
2016-09-03,CONDUCTOR,AUTO,MASCULINO,43
2016-09-04,CONDUCTOR,AUTO,MASCULINO,27
2016-09-04,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,SD
2016-09-13,CICLISTA,BICICLETA,MASCULINO,49
2016-09-14,CONDUCTOR,MOTO,FEMENINO,58
2016-09-16,PEATON,PEATON,MASCULINO,67
2016-09-17,CONDUCTOR,MOTO,MASCULINO,30
2016-09-18,CONDUCTOR,AUTO,MASCULINO,37
2016-09-18,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60
2016-09-24,PEATON,PEATON,MASCULINO,50
2016-10-02,PEATON,PEATON,FEMENINO,81
2016-10-04,CONDUCTOR,MOTO,MASCULINO,29
2016-10-09,PEATON,PEATON,MASCULINO,35
2016-10-10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30
2016-10-14,CONDUCTOR,MOTO,MASCULINO,41
2016-10-23,CONDUCTOR,MOTO,MASCULINO,25
2016-10-24,PEATON,PEATON,MASCULINO,29
2016-10-25,CONDUCTOR,MOTO,SD,SD
2016-10-25,CONDUCTOR,MOTO,MASCULINO,30
2016-10-27,CICLISTA,BICICLETA,FEMENINO,33
2016-10-28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35
2016-10-31,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20
2016-11-05,CONDUCTOR,MOTO,MASCULINO,46
2016-11-06,CONDUCTOR,MOTO,MASCULINO,35
2016-11-07,PEATON,PEATON,MASCULINO,83
2016-11-07,CONDUCTOR,MOTO,MASCULINO,39
2016-11-09,PEATON,PEATON,FEMENINO,29
