FECHA,VEHICULO_VICTIMA,SEXO,EDAD_VICTIMA,GRAVEDAD,DIA_SEMANA
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,SD,SD,SD,1
2019-01-01,SD,MASCULINO,SD,SD,1
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,FEMENINO,,SD,1
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,FEMENINO,,SD,1
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,FEMENINO,,SD,1
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,SD,SD,SD,1
2019-01-01,SD,FEMENINO,,SD,1
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,MASCULINO,SD,SD,1
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,FEMENINO,,SD,1
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,MASCULINO,,SD,1
2019-01-01,SD,FEMENINO,,SD,1
2019-01-01,SD,FEMENINO,,SD,1
2019-01-01,SD,MASCULINO,SD,SD,1
2019-01-01,SD,FEMENINO,,SD,1
2019-01-01,SD,FEMENINO,,SD,1
2019-01-02,SD,FEMENINO,,SD,2
2019-01-02,SD,FEMENINO,,SD,2
2019-01-02,SD,MASCULINO,,SD,2
2019-01-02,SD,FEMENINO,,SD,2
2019-01-02,SD,FEMENINO,,SD,2
2019-01-02,SD,FEMENINO,,SD,2
2019-01-02,SD,FEMENINO,,SD,2
2019-01-02,SD,SD,SD,SD,2
2019-01-02,SD,MASCULINO,SD,SD,2
2019-09-01,SD,MASCULINO,25,SD,6
2019-01-02,SD,MASCULINO,,SD,2
2019-01-02,SD,MASCULINO,,SD,2
2019-01-02,SD,MASCULINO,,SD,2
2019-01-02,SD,MASCULINO,,SD,2
2019-01-02,SD,MASCULINO,,SD,2
2019-01-02,SD,FEMENINO,,SD,2
2019-01-02,SD,MASCULINO,,SD,2
2019-01-02,SD,SD,SD,SD,2
2019-01-02,SD,MASCULINO,,SD,2
2019-01-02,SD,MASCULINO,,SD,2
2019-01-02,SD,MASCULINO,,SD,2
2019-01-03,SD,MASCULINO,,SD,3
2019-12-24,SD,MASCULINO,26,SD,1
2019-01-13,SD,MASCULINO,,SD,6
2019-01-03,SD,MASCULINO,,SD,3
2019-01-03,SD,MASCULINO,,SD,3
