Cantidad_victimas,Fecha,Hora,Tipo_de_calle,Calle,Cruce,Dirección_normalizada,Comuna,Longitud,Latitud,Victima,Acusado
1,2016-01-01,04:00:00,AVENIDA,PIEDRA BUENA AV.,SI,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO
1,2016-01-02,01:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS
1,2016-01-03,07:00:00,AVENIDA,ENTRE RIOS AV.,NO,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO
1,2016-01-10,00:00:00,AVENIDA,LARRAZABAL AV.,SI,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,SD
1,2016-01-21,05:00:00,AVENIDA,SAN JUAN AV.,SI,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO,PASAJEROS
1,2016-01-24,18:00:00,AVENIDA,27 DE FEBRERO AV.,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO
1,2016-01-24,19:00:00,CALLE,NOGOYA,SI,"NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO,AUTO
1,2016-01-29,15:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO
1,2016-02-08,01:00:00,AVENIDA,BELGRANO AV.,SI,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS
1,2016-02-10,11:00:00,AVENIDA,ENTRE RIOS AV.,NO,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO
1,2016-02-14,05:00:00,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",SI,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON,AUTO
1,2016-02-14,22:00:00,AVENIDA,REGIMIENTO DE PATRICIOS AV.,SI,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO
1,2016-02-15,16:00:00,AVENIDA,"ACOSTA, MARIANO",SI,"ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO
1,2016-02-17,09:00:00,CALLE,"DE LA TORRE, LISANDRO",SI,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS
1,2016-02-17,16:00:00,CALLE,SUIPACHA,NO,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,AUTO
1,2016-02-17,23:00:00,AVENIDA,DIRECTORIO AV.,SI,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO
1,2016-02-21,06:00:00,AVENIDA,9 DE JULIO AV.,SI,"9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO,AUTO
1,2016-02-28,04:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,AUTO
1,2016-02-28,07:00:00,CALLE,HOLMBERG,SI,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO
1,2016-02-28,09:00:00,AVENIDA,CURAPALIGUE AV.,SI,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO
1,2016-03-02,10:00:00,AVENIDA,VIAMONTE,SI,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON,CARGAS
1,2016-03-04,17:00:00,AVENIDA,CABILDO AV.,SI,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS
1,2016-03-08,12:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO,PASAJEROS
1,2016-03-12,12:00:00,AVENIDA,"ALCORTA, AMANCIO AV.",SI,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON,PASAJEROS
1,2016-03-13,06:00:00,AVENIDA,CORRIENTES AV.,SI,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,MOTO,PASAJEROS
1,2016-03-14,00:00:00,CALLE,HERRERA,SI,"HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,MOTO,PASAJEROS
1,2016-03-19,11:00:00,AVENIDA,LAFUENTE AV.,SI,LAFUENTE AV. y QUIRNO,7,-58.46275892,-34.64358293,MOTO,MOTO
1,2016-03-21,08:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.49683458,-34.67892743,PEATON,PASAJEROS
1,2016-03-23,01:00:00,AVENIDA,"MITRE, BARTOLOME",SI,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.40603217,-34.6088396,MOTO,PASAJEROS
2,2016-03-29,11:00:00,AVENIDA,DIRECTORIO AV.,SI,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.4607655,-34.63350444,MOTO,CARGAS
1,2016-03-30,18:00:00,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",SI,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,PEATON,CARGAS
1,2016-03-31,19:00:00,AVENIDA,"MORENO, JOSE MARIA AV.",SI,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MOTO,MULTIPLE
1,2016-04-11,10:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,SD
1,2016-04-15,05:00:00,CALLE,LIMA,NO,LIMA 1483,1,-58.38247061,-34.62571878,PEATON,PASAJEROS
1,2016-04-15,17:00:00,AVENIDA,CORRIENTES AV.,SI,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.5917024,PEATON,PASAJEROS
1,2016-04-17,00:00:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,SD,SD
1,2016-04-19,09:00:00,AVENIDA,"GORDILLO, TIMOTEO",SI,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON,PASAJEROS
1,2016-04-20,04:00:00,AVENIDA,"ALCORTA, AMANCIO AV.",SI,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO,CARGAS
1,2016-04-22,09:00:00,AVENIDA,TRIUNVIRATO AV.,SI,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.4842918,-34.57558053,PEATON,PASAJEROS
1,2016-04-23,21:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,SI,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO,MOTO
1,2016-04-25,20:00:00,AVENIDA,"CASTILLA, RAMON, MARISCAL",SI,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON,CARGAS
1,2016-04-26,04:00:00,AVENIDA,"CAMPOS, LUIS M. AV.",NO,"CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO
1,2016-05-04,14:00:00,CALLE,LIMA,NO,LIMA 1471,1,-58.38247542,-34.62556293,PEATON,MOTO
1,2016-05-08,16:00:00,CALLE,CIUDADELA,SI,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PEATON,PASAJEROS
1,2016-05-14,18:00:00,AVENIDA,"JUSTO, JUAN B. AV.",SI,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PEATON,PASAJEROS
1,2016-05-20,14:00:00,AVENIDA,GAONA AV.,SI,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,PEATON,AUTO
1,2016-05-21,17:00:00,AVENIDA,"DE LA TORRE, LISANDRO",SI,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.6751276,MOTO,PASAJEROS
1,2016-05-22,22:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",SI,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO,PASAJEROS
1,2016-05-23,03:00:00,AVENIDA,ENTRE RIOS AV.,SI,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO,CARGAS
1,2016-06-11,15:00:00,CALLE,"MAGARI?OS CERVANTES, A.",NO,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO,CARGAS
1,2016-06-12,06:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO,AUTO
1,2016-06-12,23:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,SI,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON,AUTO
1,2016-06-13,16:00:00,AVENIDA,SAN MARTIN AV.,SI,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON,PASAJEROS
1,2016-06-13,21:00:00,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",SI,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.3702777,-34.60536123,PEATON,PASAJEROS
1,2016-06-13,23:00:00,AVENIDA,BELGRANO AV.,SI,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.6146383,MOTO,MOTO
1,2016-06-16,17:00:00,AVENIDA,DEL LIBERTADOR AV.,SI,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO,AUTO
1,2016-06-18,06:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO,SD
1,2016-06-22,07:00:00,AVENIDA,"LARRALDE, CRISOLOGO AV.",SI,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.4872106,-34.55904606,MOTO,AUTO
1,2016-06-27,18:00:00,AVENIDA,LA PLATA AV.,NO,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON,AUTO
1,2016-06-28,20:00:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON,MOTO
1,2016-06-29,22:00:00,CALLE,"PELLEGRINI, CARLOS",SI,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PEATON,PASAJEROS
1,2016-06-29,22:00:00,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SI,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.657341,MOTO,OTRO
1,2016-06-30,16:00:00,AVENIDA,OLIVERA AV.,SI,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,PEATON,PASAJEROS
1,2016-07-02,00:00:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,MOTO,OBJETO FIJO
1,2016-07-11,15:00:00,CALLE,CERETTI,SI,CERETTI y NUÃ‘EZ,12,-58.5015175,-34.56767549,PEATON,AUTO
1,2016-07-14,06:00:00,AUTOPISTA,"LUGONES, LEOPOLDO AV.",SI,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-58.43233425,-34.55185825,PEATON,AUTO
1,2016-07-14,22:00:00,AVENIDA,"SALGUERO, JERONIMO",SI,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.6111224,PEATON,PASAJEROS
1,2016-07-15,11:00:00,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,CARGAS
1,2016-07-17,03:00:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-58.44362126,-34.62301748,AUTO,AUTO
1,2016-07-23,06:00:00,AVENIDA,MERCEDES,SI,MERCEDES y MOSCONI GENERAL AV.,11,-58.51713095,-34.59546519,MOTO,AUTO
