n_victimas,fecha,hora,comuna,tipo_calle,longitud,latutid,victima,acusado,gravedad
1,2019-01-01,,14,SD,-58.408911,-34.559658,CICLISTA,SD,SD
1,2019-01-01,,8,SD,-58.44351,-34.669125,AUTO,SD,SD
1,2019-01-01,,8,SD,-58.468335,-34.677556,SD,SD,SD
1,2019-01-01,,7,SD,-58.437425,-34.647349,PEATON,SD,SD
4,2019-01-01,,3,SD,-58.398225,-34.604579,AUTO,SD,SD
2,2019-01-01,,15,SD,-58.439392,-34.588108,MOTO,SD,SD
1,2019-01-01,,11,SD,-58.519116,-34.589282,MOTO,SD,SD
1,2019-01-01,,9,SD,-58.528413,-34.650156,AUTO,SD,SD
1,2019-01-01,,1,SD,-58.371488,-34.598416,MOTO,SD,SD
1,2019-01-01,,4,SD,-58.404748,-34.648387,AUTO,SD,SD
1,2019-01-01,,7,SD,-58.442125,-34.649498,AUTO,SD,SD
3,2019-01-01,,11,SD,-58.524662,-34.603255,AUTO,SD,SD
1,2019-01-01,,4,SD,-58.376137,-34.651461,SD,SD,SD
1,2019-01-01,,1,SD,-58.374154,-34.591108,SD,SD,SD
1,2019-01-01,,9,SD,-58.505709,-34.654463,AUTO,SD,SD
1,2019-01-01,,12,SD,-58.490436,-34.583403,MOTO,SD,SD
1,2019-01-01,,9,SD,-58.512313,-34.661307,AUTO,SD,SD
1,2019-01-01,,2,SD,-58.399038,-34.598285,SD,SD,SD
1,2019-01-02,,1,SD,-58.373748,-34.604635,CICLISTA,SD,SD
1,2019-01-02,,5,SD,SD,SD,MOTO,SD,SD
5,2019-01-02,,6,SD,-58.447266,-34.622984,TRANSPORTE PUBLICO,SD,SD
1,2019-01-02,,5,SD,-58.415098,-34.620858,CAMIONETA,SD,SD
1,2019-01-02,,1,SD,-58.37226,-34.596132,SD,SD,SD
1,2019-01-02,,14,SD,-58.448666,-34.567927,PEATON,SD,SD
1,2019-01-02,,13,SD,-58.468124,-34.552719,MOTO,SD,SD
1,2019-01-02,,1,SD,-58.37226,-34.596132,MOTO,SD,SD
1,2019-01-02,,13,SD,-58.474535,-34.53838,SD,SD,SD
1,2019-01-02,,4,SD,-58.398009,-34.638178,SD,SD,SD
1,2019-01-02,,8,SD,-58.464704,-34.690814,SD,SD,SD
2,2019-01-02,,3,SD,-58.39338,-34.609275,SD,SD,SD
1,2019-01-02,,1,SD,-58.370261,-34.606522,SD,SD,SD
1,2019-01-02,,1,SD,-58.373281,-34.590127,AUTO,SD,SD
1,2019-01-02,,11,SD,-58.461782,-34.612442,SD,SD,SD
1,2019-01-02,,4,SD,SD,SD,SD,SD,SD
1,2019-01-03,,1,SD,-58.370261,-34.606522,MOTO,SD,SD
1,2019-01-03,,4,SD,-58.370256,-34.633619,SD,SD,SD
1,2019-01-03,,4,SD,-58.389014,-34.651172,SD,SD,SD
1,2019-01-03,,10,SD,-58.516946,-34.620214,SD,SD,SD
2,2019-01-03,,14,SD,-58.420172,-34.587788,SD,SD,SD
1,2019-01-03,,1,SD,-58.374037,-34.624434,SD,SD,SD
1,2019-01-03,,13,SD,-58.458802,-34.572009,SD,SD,SD
1,2019-01-03,,2,SD,-58.409433,-34.598087,SD,SD,SD
2,2019-01-03,,12,SD,-58.471429,-34.560095,SD,SD,SD
1,2019-01-03,,10,SD,-58.502861,-34.634383,SD,SD,SD
1,2019-01-03,,3,SD,-58.402885,-34.61544,MOTO,SD,SD
1,2019-01-03,,12,SD,-58.49491,-34.547957,AUTO,SD,SD
1,2019-01-03,,15,SD,-58.455131,-34.605272,SD,SD,SD
1,2019-01-03,,12,SD,-58.480138,-34.556424,SD,SD,SD
1,2019-01-03,,4,SD,-58.403486,-34.648017,SD,SD,SD
1,2019-01-03,,9,SD,-58.514805,-34.66058,SD,SD,SD
1,2019-01-03,,3,SD,-58.411121,-34.606091,SD,SD,SD
1,2019-01-03,,9,SD,-58.5013,-34.650495,SD,SD,SD
2,2019-01-03,,5,SD,-58.419078,-34.637644,SD,SD,SD
1,2019-01-03,,1,SD,-58.38184,-34.596726,SD,SD,SD
1,2019-01-03,,12,SD,-58.473539,-34.543295,MOTO,SD,SD
1,2019-01-03,,15,SD,-58.495341,-34.591985,PEATON,SD,SD
1,2019-01-03,,10,SD,-58.486064,-34.640477,MOTO,SD,SD
1,2019-01-03,,7,SD,-58.4585,-34.615899,MOTO,SD,SD
1,2019-01-04,,13,SD,-58.44917,-34.56181,CICLISTA,SD,SD
1,2019-01-04,,12,SD,-58.505206,-34.567724,CICLISTA,SD,SD
2,2019-01-04,,3,SD,-58.39763,-34.617325,MOTO,SD,SD
1,2019-01-04,,3,SD,-58.409257,-34.620021,MOTO,SD,SD
1,2019-01-04,,9,SD,-58.500852,-34.673463,PEATON,SD,SD
2,2019-01-04,,10,SD,-58.496239,-34.636075,MOTO,SD,SD
1,2019-01-04,,12,SD,-58.512465,-34.584012,AUTO,SD,SD
1,2019-01-04,,13,SD,-58.440762,-34.551161,SD,SD,SD
1,2019-01-04,,1,SD,-58.371576,-34.619382,PEATON,SD,SD
1,2019-01-04,,12,SD,-58.50378,-34.573907,PEATON,SD,SD
1,2019-01-04,,9,SD,-58.498813,-34.657353,SD,SD,SD
1,2019-01-04,,11,SD,-58.486836,-34.611405,MOTO,SD,SD
1,2019-01-04,,15,SD,-58.467221,-34.579471,MOTO,SD,SD
1,2019-01-04,,9,SD,-58.469778,-34.649672,AUTO,SD,SD
1,2019-01-04,,No Especificada,SD,SD,SD,MOTO,SD,SD
1,2019-01-04,,6,SD,-58.432988,-34.620044,MOTO,SD,SD
1,2019-01-04,,4,SD,-58.3743,-34.640305,MOTO,SD,SD
1,2019-01-04,,9,SD,-58.514654,-34.64153,PEATON,SD,SD
1,2019-01-04,,15,SD,-58.477241,-34.595179,MOTO,SD,SD
1,2019-01-04,,5,SD,-58.413443,-34.626664,AUTO,SD,SD
2,2019-01-04,,15,SD,-58.479158,-34.590782,SD,SD,SD
2,2019-01-04,,No Especificada,SD,SD,SD,AUTO,SD,SD
1,2019-01-04,,15,SD,-58.453898,-34.58744,PEATON,SD,SD
1,2019-01-04,,6,SD,-58.439337,-34.608879,MOTO,SD,SD
3,2019-01-04,,15,SD,-58.454242,-34.585794,SD,SD,SD
1,2019-01-04,,10,SD,-58.529911,-34.625715,MOTO,SD,SD
1,2019-01-04,,15,SD,-58.444788,-34.584513,PEATON,SD,SD
1,2019-01-04,,13,SD,-58.451299,-34.58028,PEATON,SD,SD
1,2019-01-04,,4,SD,-58.391554,-34.635687,AUTO,SD,SD
1,2019-01-04,,10,SD,-58.514329,-34.617879,PEATON,SD,SD
1,2019-01-04,,3,SD,-58.402176,-34.623778,TRANSPORTE PUBLICO,SD,SD
1,2019-01-04,,14,SD,-58.421782,-34.597734,MOTO,SD,SD
1,2019-01-04,,8,SD,-58.474577,-34.68688,SD,SD,SD
1,2019-01-04,,12,SD,-58.4727,-34.560778,SD,SD,SD
1,2019-01-04,,3,SD,-58.404144,-34.617043,SD,SD,SD
1,2019-01-05,,No Especificada,SD,SD,SD,CICLISTA,SD,SD
1,2019-01-05,,10,SD,-58.5011,-34.636705,CICLISTA,SD,SD
1,2019-01-05,,3,SD,-58.407935,-34.618887,CICLISTA,SD,SD
1,2019-01-05,,5,SD,-58.416892,-34.610987,SD,SD,SD
3,2019-01-05,,4,SD,-58.412835,-34.655086,TRANSPORTE PUBLICO,SD,SD
1,2019-01-05,,3,SD,-58.403052,-34.625845,AUTO,SD,SD
1,2019-01-05,,3,SD,-58.392912,-34.619174,PEATON,SD,SD
1,2019-01-05,,10,SD,-58.529805,-34.627034,SD,SD,SD
1,2019-01-05,,10,SD,-58.501286,-34.622979,MOTO,SD,SD
1,2019-01-05,,3,SD,-58.405445,-34.627374,PEATON,SD,SD
1,2019-01-05,,8,SD,-58.442861,-34.657568,SD,SD,SD
1,2019-01-05,,1,SD,-58.36793,-34.605172,MOTO,SD,SD
1,2019-01-05,,15,SD,-58.441826,-34.60066,PEATON,SD,SD
1,2019-01-05,,13,SD,-58.467688,-34.549342,TRANSPORTE PUBLICO,SD,SD
1,2019-01-05,,8,SD,-58.47462,-34.683043,MOTO,SD,SD
2,2019-01-05,,9,SD,-58.465951,-34.658307,SD,SD,SD
1,2019-01-05,,15,SD,-58.474932,-34.604173,MOTO,SD,SD
1,2019-01-05,,10,SD,-58.488908,-34.634216,PEATON,SD,SD
1,2019-01-05,,11,SD,-58.493016,-34.601758,SD,SD,SD
1,2019-01-06,,7,SD,-58.469868,-34.633801,CICLISTA,SD,SD
1,2019-01-06,,1,SD,-58.381483,-34.594546,PEATON,SD,SD
1,2019-01-06,,11,SD,-58.50758,-34.604624,AUTO,SD,SD
1,2019-01-06,,2,SD,-58.405356,-34.590326,MOTO,SD,SD
1,2019-01-06,,1,SD,-58.378123,-34.602378,AUTO,SD,SD
2,2019-01-06,,1,SD,-58.380012,-34.622135,MOTO,SD,SD
1,2019-01-06,,2,SD,-58.411924,-34.598002,MOTO,SD,SD
1,2019-01-06,,6,SD,-58.447447,-34.625172,MOTO,SD,SD
1,2019-01-06,,15,SD,-58.447169,-34.605403,TRANSPORTE PUBLICO,SD,SD
1,2019-01-06,,14,SD,-58.419283,-34.587575,MOTO,SD,SD
2,2019-01-06,,12,SD,-58.493326,-34.54837,MOTO,SD,SD
2,2019-01-06,,No Especificada,SD,SD,SD,AUTO,SD,SD
1,2019-01-07,,7,SD,-58.471575,-34.626368,CICLISTA,SD,SD
1,2019-01-07,,11,SD,-58.528155,-34.611798,CICLISTA,SD,SD
1,2019-01-07,,5,SD,-58.418829,-34.62583,SD,SD,SD
1,2019-01-07,,6,SD,-58.43953,-34.628853,SD,SD,SD
1,2019-01-07,,No Especificada,SD,SD,SD,PEATON,SD,SD
1,2019-01-07,,13,SD,SD,SD,PEATON,SD,SD
1,2019-01-07,,9,SD,-58.507922,-34.656089,TRANSPORTE PUBLICO,SD,SD
1,2019-01-07,,3,SD,-58.3958,-34.616021,MOTO,SD,SD
2,2019-01-07,,3,SD,-58.397691,-34.618555,MOTO,SD,SD
1,2019-01-07,,13,SD,-58.472974,-34.551674,MOTO,SD,SD
1,2019-01-07,,1,SD,-58.384719,-34.612323,MOTO,SD,SD
1,2019-01-07,,9,SD,-58.52877,-34.64373,SD,SD,SD
1,2019-01-07,,1,SD,-58.380897,-34.624645,TRANSPORTE PUBLICO,SD,SD
1,2019-01-07,,5,SD,-58.41618,-34.635318,MOTO,SD,SD
1,2019-01-07,,12,SD,-58.48935,-34.549178,MOTO,SD,SD
1,2019-01-07,,9,SD,-58.511016,-34.666649,MOTO,SD,SD
1,2019-01-07,,1,SD,-58.380622,-34.619758,MOTO,SD,SD
1,2019-01-07,,14,SD,-58.415573,-34.555241,SD,SD,SD
1,2019-01-07,,11,SD,-58.476096,-34.618101,SD,SD,SD
1,2019-01-07,,7,SD,-58.468682,-34.634692,AUTO,SD,SD
1,2019-01-07,,3,SD,-58.39669,-34.623003,SD,SD,SD
1,2019-01-07,,12,SD,-58.475488,-34.539371,PEATON,SD,SD
2,2019-01-07,,5,SD,-58.417434,-34.621129,SD,SD,SD
1,2019-01-07,,3,SD,-58.392772,-34.600806,SD,SD,SD
1,2019-01-07,,10,SD,-58.510559,-34.625114,SD,SD,SD
4,2019-01-07,,1,SD,-58.374439,-34.591666,TRANSPORTE PUBLICO,SD,SD
2,2019-01-07,,12,SD,-58.486934,-34.545749,SD,SD,SD
1,2019-01-07,,3,SD,-58.391962,-34.609233,SD,SD,SD
1,2019-01-08,,1,SD,-58.3733,-34.613613,CICLISTA,SD,SD
1,2019-01-08,,5,SD,-58.414935,-34.599599,CICLISTA,SD,SD
1,2019-01-08,,5,SD,-58.41322,-34.638077,CICLISTA,SD,SD
1,2019-01-08,,15,SD,-58.456416,-34.602389,CICLISTA,SD,SD
1,2019-01-08,,3,SD,-58.407091,-34.601586,SD,SD,SD
1,2019-01-08,,2,SD,-58.406632,-34.598045,SD,SD,SD
1,2019-01-08,,3,SD,-58.411466,-34.613036,MOTO,SD,SD
1,2019-01-08,,3,SD,-58.395595,-34.61614,MOTO,SD,SD
1,2019-01-08,,13,SD,-58.432336,-34.551859,SD,SD,SD
1,2019-01-08,,13,SD,-58.471008,-34.550526,MOTO,SD,SD
1,2019-01-08,,10,SD,-58.49821,-34.628067,SD,SD,SD
1,2019-01-08,,3,SD,-58.405934,-34.601726,SD,SD,SD
2,2019-01-08,,14,SD,-58.425894,-34.59153,SD,SD,SD
1,2019-01-08,,5,SD,-58.415783,-34.61562,SD,SD,SD
1,2019-01-08,,10,SD,-58.473352,-34.634862,MOTO,SD,SD
1,2019-01-08,,1,SD,-58.379401,-34.590102,SD,SD,SD
1,2019-01-08,,7,SD,-58.467516,-34.621471,MOTO,SD,SD
1,2019-01-08,,8,SD,-58.478558,-34.682602,SD,SD,SD
1,2019-01-08,,7,SD,-58.464112,-34.62925,PEATON,SD,SD
1,2019-01-08,,8,SD,-58.447442,-34.663275,SD,SD,SD
1,2019-01-08,,5,SD,-58.417799,-34.600958,SD,SD,SD
1,2019-01-08,,15,SD,-58.48365,-34.589491,SD,SD,SD
1,2019-01-08,,8,SD,-58.489656,-34.664678,SD,SD,SD
1,2019-01-08,,3,SD,-58.393345,-34.610431,SD,SD,SD
1,2019-01-08,,13,SD,-58.445941,-34.562848,SD,SD,SD
1,2019-01-08,,15,SD,-58.462294,-34.586605,SD,SD,SD
1,2019-01-08,,8,SD,-58.469389,-34.664989,MOTO,SD,SD
